Neighborhood,Venue,Venue_Category,Venue ID,Price Category,Ratings,Total Reviews,Likes
Marble Hill,Land & Sea Restaurant,Seafood Restaurant,4b9c9c6af964a520b27236e3,Moderate,7.5,70,42
Marble Hill,Boston Market,American Restaurant,585c205665e7c70a2f1055ea,Moderate,7.1,5,4
Chinatown,Spicy Village,Chinese Restaurant,4db3374590a0843f295fb69b,Cheap,8.2,690,500
Chinatown,Wah Fung Number 1 Fast Food 華豐快飯店,Chinese Restaurant,4a96bf8ff964a520ce2620e3,Cheap,8.2,281,192
Chinatown,Xi'an Famous Foods,Chinese Restaurant,5894c9a15e56b417cf79e553,Cheap,8.5,138,104
Chinatown,Dimes,American Restaurant,522dfe8b7e4826517408a264,Moderate,8.3,872,646
Chinatown,Wayla,Thai Restaurant,5cc4e9d0c876c8002c3010cb,Moderate,9.2,147,126
Chinatown,l'estudio,American Restaurant,587996ef0923920c21ea4603,Moderate,8.8,75,64
Chinatown,The Commissary,American Restaurant,572bcbaa498e16431ad34a61,Moderate,8.3,61,46
Chinatown,Hwa Yuan,Chinese Restaurant,59d828f0916bc1155fde2c04,Cheap,7.9,98,68
Chinatown,House Special 甘來飯店,Chinese Restaurant,59ad625a2619ee5cdded881f,Cheap,8.2,36,22
Chinatown,Bacaro,Italian Restaurant,472a027af964a520ea4b1fe3,Moderate,7.8,282,193
Chinatown,JaJaJa Plantas Mexicana,Mexican Restaurant,58f55261419a9e48f4dd0706,Cheap,8.5,238,173
Chinatown,Factory Tamal,Mexican Restaurant,5885471a0037eb3b6c2973d2,Cheap,8.1,47,29
Chinatown,Great N.Y. Noodletown,Chinese Restaurant,3fd66200f964a520b1ea1ee3,Cheap,7.6,909,547
Chinatown,Sun's Organic Tea Shop,Chinese Restaurant,4c7ab2ac2d3ba143bb1d92d0,Cheap,8.1,50,32
Washington Heights,Saggio Restaurant,Italian Restaurant,4d21107c6e8c37042b58ff9f,Moderate,8.5,193,119
Washington Heights,The Pandering Pig,American Restaurant,56e213e1498e8b403c8bb16a,Moderate,8.5,17,11
Washington Heights,Yang Garden,Chinese Restaurant,4b292f38f964a520939a24e3,Moderate,7.7,9,6
Washington Heights,Golden Star,Chinese Restaurant,4b8d55aef964a52050f532e3,Moderate,7,15,7
Washington Heights,Marisco Centro (Seafood Restaurant & Fish Market),Seafood Restaurant,4bdcc53e03be20a1c7b2849b,Expensive,7.5,34,20
Washington Heights,Refried Beans Mexican Restaurant,Mexican Restaurant,4b2c33d0f964a520aac324e3,Moderate,7.2,114,62
Washington Heights,No. 1 Chinese Restaurant,Chinese Restaurant,4b3fe94af964a520e2b125e3,Cheap,6.7,11,3
Washington Heights,Sushi Yu II,Sushi Restaurant,4a4a642cf964a520bdab1fe3,Moderate,6.7,75,37
Washington Heights,Tung Thong,Thai Restaurant,5809511c38fafba1ec352126,Moderate,6.6,11,6
Washington Heights,Mi Ranchito,Mexican Restaurant,4ee2bbe8775b86c4028dec5d,Cheap,6.3,9,6
Inwood,Guadalupe Bar and Grill,Mexican Restaurant,4b0885d1f964a520a20d23e3,Moderate,8.5,153,103
Inwood,The Tubby Hook,American Restaurant,5814dc8ed67ca5038583da78,Moderate,7.9,34,24
Inwood,Guacamole,Mexican Restaurant,5830ff3044587f7beb2271cc,Cheap,8,16,13
